file,category,original_vertices,resampled_vertices,original_faces,resampled_faces,expected_action,actual_action,change,to_exclude
m51.obj,Bird,309,4794,598,9568,subdivide,subdivided,4485,FALSE
m396.obj,BuildingNonResidential,445,4585,470,7520,subdivide,subdivided,4140,FALSE
D00802.obj,Gun,300,4530,564,9024,subdivide,subdivided,4230,FALSE
m439.obj,House,356,4346,532,8512,subdivide,subdivided,3990,FALSE
m359.obj,HumanHead,314,4868,615,9616,subdivide,subdivided,4554,FALSE
m361.obj,HumanHead,295,4487,557,8816,subdivide,subdivided,4192,FALSE
m165.obj,Humanoid,506,11304,1748,33024,subdivide,subdivided,10798,FALSE
m166.obj,Humanoid,476,11239,1698,32896,subdivide,subdivided,10763,FALSE
m198.obj,Humanoid,4657,10620,19582,18680,subdivide,subdivided,5963,FALSE
m22.obj,Insect,333,4983,620,9920,subdivide,subdivided,4650,FALSE
m1249.obj,Jet,310,4930,616,9856,subdivide,subdivided,4620,FALSE
m1298.obj,Jet,301,4402,542,8672,subdivide,subdivided,4101,FALSE
m633.obj,Musical_Instrument,524,4757,1728,10064,subdivide,subdivided,4233,FALSE
m1029.obj,PlantIndoors,316,4408,548,8704,subdivide,subdivided,4092,FALSE
D00842.obj,Spoon,291,4443,1647,8784,subdivide,subdivided,4152,FALSE
m720.obj,Sword,318,4837,620,9664,subdivide,subdivided,4519,FALSE
m721.obj,Sword,275,4250,530,8480,subdivide,subdivided,3975,FALSE
m1112.obj,Tool,316,4875,621,9648,subdivide,subdivided,4559,FALSE
m74.obj,AquaticAnimal,162,2548,336,4992,subdivide,subdivided,2386,TRUE
m42.obj,Bird,116,1693,265,3360,subdivide,subdivided,1577,TRUE
m487.obj,Bottle,133,1969,290,3776,subdivide,subdivided,1836,TRUE
m471.obj,BuildingNonResidential,118,1903,248,3744,subdivide,subdivided,1785,TRUE
m475.obj,BuildingNonResidential,112,1492,178,2816,subdivide,subdivided,1380,TRUE
D01139.obj,Door,31,289,29,464,subdivide,subdivided,258,TRUE
D01143.obj,Door,48,588,72,1152,subdivide,subdivided,540,TRUE
m622.obj,FloorLamp,54,732,88,1408,subdivide,subdivided,678,TRUE
m623.obj,FloorLamp,78,967,120,1920,subdivide,subdivided,889,TRUE
m624.obj,FloorLamp,46,610,76,1216,subdivide,subdivided,564,TRUE
D00937.obj,Glasses,140,2210,280,4416,subdivide,subdivided,2070,TRUE
m7.obj,Insect,265,4059,506,8048,subdivide,subdivided,3794,TRUE
m1176.obj,Jet,213,15794,642,53248,subdivide,subdivided,15581,TRUE
m1213.obj,Jet,254,4012,504,8000,subdivide,subdivided,3758,TRUE
m1270.obj,Jet,295,3883,452,7232,subdivide,subdivided,3588,TRUE
m1294.obj,Jet,257,3131,352,5632,subdivide,subdivided,2874,TRUE
m1295.obj,Jet,204,2274,244,3904,subdivide,subdivided,2070,TRUE
D01120.obj,Knife,132,2102,798,4192,subdivide,subdivided,1970,TRUE
D01160.obj,Knife,270,4169,1686,8096,subdivide,subdivided,3899,TRUE
D01175.obj,Knife,87,1332,498,2656,subdivide,subdivided,1245,TRUE
m998.obj,PlantIndoors,318,4125,478,7648,subdivide,subdivided,3807,TRUE
m975.obj,PlantWildNonTree,241,3616,450,7200,subdivide,subdivided,3375,TRUE
D00188.obj,RectangleTable,80,980,120,1920,subdivide,subdivided,900,TRUE
m877.obj,RectangleTable,56,686,84,1344,subdivide,subdivided,630,TRUE
m892.obj,RectangleTable,174,1885,288,3280,subdivide,subdivided,1711,TRUE
m893.obj,RectangleTable,184,2458,292,4672,subdivide,subdivided,2274,TRUE
m910.obj,RectangleTable,352,3171,1136,6512,subdivide,subdivided,2819,TRUE
D00764.obj,Rocket,218,3218,400,6400,subdivide,subdivided,3000,TRUE
m931.obj,RoundTable,54,714,88,1408,subdivide,subdivided,660,TRUE
m1448.obj,Ship,182,2683,328,5248,subdivide,subdivided,2501,TRUE
m1670.obj,Sign,221,2147,217,3472,subdivide,subdivided,1926,TRUE
m1671.obj,Sign,119,1145,113,1808,subdivide,subdivided,1026,TRUE
m1672.obj,Sign,231,2652,299,4720,subdivide,subdivided,2421,TRUE
m1673.obj,Sign,80,812,86,1376,subdivide,subdivided,732,TRUE
m1674.obj,Sign,50,641,78,1248,subdivide,subdivided,591,TRUE
m1675.obj,Sign,40,442,52,832,subdivide,subdivided,402,TRUE
D00674.obj,Spoon,173,2561,966,4960,subdivide,subdivided,2388,TRUE
D00149.obj,Sword,186,2796,344,5504,subdivide,subdivided,2610,TRUE
D00807.obj,Sword,176,2523,648,4720,subdivide,subdivided,2347,TRUE
m689.obj,Sword,178,2824,360,5600,subdivide,subdivided,2646,TRUE
m690.obj,Sword,180,2820,368,5600,subdivide,subdivided,2640,TRUE
m693.obj,Sword,196,2428,259,4144,subdivide,subdivided,2232,TRUE
m1101.obj,Tool,135,2100,262,4192,subdivide,subdivided,1965,TRUE
m1097.obj,Tree,35,320,31,496,subdivide,subdivided,285,TRUE
m541.obj,Vase,312,2450,1196,5760,subdivide,subdivided,2138,TRUE
